case_id,cwe,main_file,java_file,func_name,target,old_labeled_lines,case_id,bad_source_lines,bad_sink_lines,fixed_lines
1346,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_53a,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_53a,bad,1,[48],1346,48,,
1346,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_53b,,,,1346,,,
1346,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_53c,,,,1346,,,
1346,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_53d,,,,1346,,40,
,,,,,,,,,,
1347,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__connect_tcp_74a,CWE15_External_Control_of_System_or_Configuration_Setting__connect_tcp_74a,goodG2B,0,[56],1347,,,122
1347,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__connect_tcp_74b,,,,1347,,,
,,,,,,,,,,
1348,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__listen_tcp_22a,CWE15_External_Control_of_System_or_Configuration_Setting__listen_tcp_22a,bad,1,[48],1348,,48,
1348,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__listen_tcp_22b,,,,1348,55,,
,,,,,,,,,,
1349,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__getQueryString_Servlet_61a,CWE15_External_Control_of_System_or_Configuration_Setting__getQueryString_Servlet_61a,bad,1,[41],1349,,41,
1349,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__getQueryString_Servlet_61b,,,,1349,35,,
,,,,,,,,,,
1350,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_72a,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_72a,bad,1,[49],1350,49,,
1350,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_72b,,,,1350,,42,
,,,,,,,,,,
1351,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__getCookies_Servlet_66a,CWE15_External_Control_of_System_or_Configuration_Setting__getCookies_Servlet_66a,bad,1,[38],1351,38,,
1351,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__getCookies_Servlet_66b,,,,1351,,41,
,,,,,,,,,,
1352,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__File_16,CWE15_External_Control_of_System_or_Configuration_Setting__File_16,bad,1,"[57, 114]",1352,57,114,
,,,,,,,,,,
1353,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__URLConnection_41,CWE15_External_Control_of_System_or_Configuration_Setting__URLConnection_41,bad,1,[89],1353,89,46,
,,,,,,,,,,
1354,CWE15,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_52a,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_52a,bad,1,[48],1354,48,,
1354,CWE15,,CWE15_External_Control_of_System_or_Configuration_Setting__console_readLine_52b,,,,1354,,,
