case_id,cwe,main_file,java_file,func_name,target,old_labeled_lines,case_id,bad_source_lines,bad_sink_lines,fixed_lines
6679,CWE81,CWE81_XSS_Error_Message__Servlet_connect_tcp_41,CWE81_XSS_Error_Message__Servlet_connect_tcp_41,goodG2B,0,[68],6679,,,144
,,,,,,,,,,
6680,CWE81,CWE81_XSS_Error_Message__Servlet_File_16,CWE81_XSS_Error_Message__Servlet_File_16,bad,1,"[54, 109]",6680,54,109,
,,,,,,,,,,
6681,CWE81,CWE81_XSS_Error_Message__Servlet_PropertiesFile_66a,CWE81_XSS_Error_Message__Servlet_PropertiesFile_66a,bad,1,[49],6681,49,,
6681,CWE81,,CWE81_XSS_Error_Message__Servlet_PropertiesFile_66b,,,,6681,,35,
,,,,,,,,,,
6682,CWE81,CWE81_XSS_Error_Message__Servlet_PropertiesFile_22a,CWE81_XSS_Error_Message__Servlet_PropertiesFile_22a,bad,1,[42],6682,,42,
6682,CWE81,,CWE81_XSS_Error_Message__Servlet_PropertiesFile_22b,,,,6682,48,,
,,,,,,,,,,
6683,CWE81,CWE81_XSS_Error_Message__Servlet_URLConnection_53a,CWE81_XSS_Error_Message__Servlet_URLConnection_53a,bad,1,[53],6683,53,,
6683,CWE81,,CWE81_XSS_Error_Message__Servlet_URLConnection_53b,,,,6683,,,
6683,CWE81,,CWE81_XSS_Error_Message__Servlet_URLConnection_53c,,,,6683,,,
6683,CWE81,,CWE81_XSS_Error_Message__Servlet_URLConnection_53d,,,,6683,,34,
,,,,,,,,,,
6684,CWE81,CWE81_XSS_Error_Message__Servlet_URLConnection_01,CWE81_XSS_Error_Message__Servlet_URLConnection_01,bad,1,"[53, 94]",6684,53,94,
,,,,,,,,,,
6685,CWE81,CWE81_XSS_Error_Message__Servlet_getParameter_Servlet_81a,CWE81_XSS_Error_Message__Servlet_getParameter_Servlet_81a,bad,1,[31],6685,31,,
6685,CWE81,,CWE81_XSS_Error_Message__Servlet_getParameter_Servlet_81_bad,,,,6685,,34,
,,,,,,,,,,
6686,CWE81,CWE81_XSS_Error_Message__Servlet_URLConnection_22a,CWE81_XSS_Error_Message__Servlet_URLConnection_22a,bad,1,[42],6686,,42,
6686,CWE81,,CWE81_XSS_Error_Message__Servlet_URLConnection_22b,,,,6686,52,,
,,,,,,,,,,
6687,CWE81,CWE81_XSS_Error_Message__Servlet_URLConnection_67a,CWE81_XSS_Error_Message__Servlet_URLConnection_67a,goodG2B,0,[58],6687,,,109
6687,CWE81,,CWE81_XSS_Error_Message__Servlet_URLConnection_67b,,,,6687,,,
,,,,,,,,,,
6688,CWE81,CWE81_XSS_Error_Message__Servlet_listen_tcp_17,CWE81_XSS_Error_Message__Servlet_listen_tcp_17,bad,1,"[126, 58]",6688,58,126,
,,,,,,,,,,
6689,CWE81,CWE81_XSS_Error_Message__Servlet_database_66a,CWE81_XSS_Error_Message__Servlet_database_66a,bad,1,[54],6689,54,,
6689,CWE81,,CWE81_XSS_Error_Message__Servlet_database_66b,,,,6689,,35,
,,,,,,,,,,
6690,CWE81,CWE81_XSS_Error_Message__Servlet_getQueryString_Servlet_52a,CWE81_XSS_Error_Message__Servlet_getQueryString_Servlet_52a,bad,1,[34],6690,35,,
6690,CWE81,,CWE81_XSS_Error_Message__Servlet_getQueryString_Servlet_52b,,,,6690,,,
6690,CWE81,,CWE81_XSS_Error_Message__Servlet_getQueryString_Servlet_52c,,,,6690,,34,
,,,,,,,,,,
6691,CWE81,CWE81_XSS_Error_Message__Servlet_listen_tcp_51a,CWE81_XSS_Error_Message__Servlet_listen_tcp_51a,bad,1,[57],6691,57,,
6691,CWE81,,CWE81_XSS_Error_Message__Servlet_listen_tcp_51b,,,,6691,,33,
,,,,,,,,,,
6692,CWE81,CWE81_XSS_Error_Message__Servlet_connect_tcp_17,CWE81_XSS_Error_Message__Servlet_connect_tcp_17,bad,1,"[55, 111]",6692,55,111,
,,,,,,,,,,
6693,CWE81,CWE81_XSS_Error_Message__Servlet_File_22a,CWE81_XSS_Error_Message__Servlet_File_22a,bad,1,[42],6693,,42,
6693,CWE81,,CWE81_XSS_Error_Message__Servlet_File_22b,,,,6693,54,,
,,,,,,,,,,
6694,CWE81,CWE81_XSS_Error_Message__Servlet_database_68a,CWE81_XSS_Error_Message__Servlet_database_68a,bad,1,[54],6694,54,,
6694,CWE81,,CWE81_XSS_Error_Message__Servlet_database_68b,,,,6694,,34,
,,,,,,,,,,
6695,CWE81,CWE81_XSS_Error_Message__Servlet_database_22a,CWE81_XSS_Error_Message__Servlet_database_22a,bad,1,[42],6695,,42,
6695,CWE81,,CWE81_XSS_Error_Message__Servlet_database_22b,,,,6695,52,,
,,,,,,,,,,
6696,CWE81,CWE81_XSS_Error_Message__Servlet_File_67a,CWE81_XSS_Error_Message__Servlet_File_67a,goodG2B,0,[59],6696,,,122
