case_id,cwe,main_file,java_file,func_name,target,old_labeled_lines,case_id,bad_source_lines,bad_sink_lines,fixed_lines
5092,CWE400,CWE400_Resource_Exhaustion__sleep_console_readLine_72a,CWE400_Resource_Exhaustion__sleep_console_readLine_72a,goodB2G,0,[47],5092,,,
5092,CWE400,,CWE400_Resource_Exhaustion__sleep_console_readLine_72b,,,,5092,,,49
,,,,,,,,,,
5093,CWE400,CWE400_Resource_Exhaustion__Property_for_loop_54a,CWE400_Resource_Exhaustion__Property_for_loop_54a,bad,1,[35],5093,36,,
5093,CWE400,,CWE400_Resource_Exhaustion__Property_for_loop_54b,,,,5093,,,
5093,CWE400,,CWE400_Resource_Exhaustion__Property_for_loop_54c,,,,5093,,,
5093,CWE400,,CWE400_Resource_Exhaustion__Property_for_loop_54d,,,,5093,,,
5093,CWE400,,CWE400_Resource_Exhaustion__Property_for_loop_54e,,,,5093,,31,
,,,,,,,,,,
5094,CWE400,CWE400_Resource_Exhaustion__Environment_write_72a,CWE400_Resource_Exhaustion__Environment_write_72a,bad,1,[36],5094,37,,
5094,CWE400,,CWE400_Resource_Exhaustion__Environment_write_72b,,,,5094,,45,
,,,,,,,,,,
5095,CWE400,CWE400_Resource_Exhaustion__Environment_for_loop_67a,CWE400_Resource_Exhaustion__Environment_for_loop_67a,bad,1,[40],5095,41,,
5095,CWE400,,CWE400_Resource_Exhaustion__Environment_for_loop_67b,,,,5095,,32,
,,,,,,,,,,
5096,CWE400,CWE400_Resource_Exhaustion__listen_tcp_write_31,CWE400_Resource_Exhaustion__listen_tcp_write_31,goodB2G,0,"[65, 148]",5096,,,384
,,,,,,,,,,
5097,CWE400,CWE400_Resource_Exhaustion__sleep_connect_tcp_01,CWE400_Resource_Exhaustion__sleep_connect_tcp_01,goodB2G,0,"[113, 53]",5097,,,220
,,,,,,,,,,
5098,CWE400,CWE400_Resource_Exhaustion__sleep_connect_tcp_81a,CWE400_Resource_Exhaustion__sleep_connect_tcp_81a,goodB2G,0,[53],5098,,,
5098,CWE400,,CWE400_Resource_Exhaustion__sleep_connect_tcp_81_goodB2G,,,,5098,,,27
,,,,,,,,,,
5099,CWE400,CWE400_Resource_Exhaustion__console_readLine_write_17,CWE400_Resource_Exhaustion__console_readLine_write_17,bad,1,"[113, 59]",5099,59,113,
,,,,,,,,,,
5100,CWE400,CWE400_Resource_Exhaustion__console_readLine_for_loop_01,CWE400_Resource_Exhaustion__console_readLine_for_loop_01,goodB2G,0,"[97, 48]",5100,,,195
,,,,,,,,,,
5101,CWE400,CWE400_Resource_Exhaustion__sleep_connect_tcp_61a,CWE400_Resource_Exhaustion__sleep_connect_tcp_61a,goodG2B,0,[28],5101,,,
5101,CWE400,,CWE400_Resource_Exhaustion__sleep_connect_tcp_61b,,,,5101,,,121
,,,,,,,,,,
5102,CWE400,CWE400_Resource_Exhaustion__sleep_Property_21,CWE400_Resource_Exhaustion__sleep_Property_21,goodB2G1,0,[36],5102,,,109
,,,,,,,,,,
5103,CWE400,CWE400_Resource_Exhaustion__File_for_loop_61a,CWE400_Resource_Exhaustion__File_for_loop_61a,goodB2G,0,[32],5103,,,68
5103,CWE400,,CWE400_Resource_Exhaustion__File_for_loop_61b,,,,5103,,,
,,,,,,,,,,
5104,CWE400,CWE400_Resource_Exhaustion__sleep_PropertiesFile_31,CWE400_Resource_Exhaustion__sleep_PropertiesFile_31,goodB2G,0,"[49, 89]",5104,,,181
,,,,,,,,,,
5105,CWE400,CWE400_Resource_Exhaustion__random_for_loop_52a,CWE400_Resource_Exhaustion__random_for_loop_52a,bad,1,[32],5105,32,,
5105,CWE400,,CWE400_Resource_Exhaustion__random_for_loop_52b,,,,5105,,,
5105,CWE400,,CWE400_Resource_Exhaustion__random_for_loop_52c,,,,5105,,31,
,,,,,,,,,,
5106,CWE400,CWE400_Resource_Exhaustion__Environment_write_75a,CWE400_Resource_Exhaustion__Environment_write_75a,goodB2G,0,[39],5106,,,
5106,CWE400,,CWE400_Resource_Exhaustion__Environment_write_75b,,,,5106,,,261
,,,,,,,,,,
5107,CWE400,CWE400_Resource_Exhaustion__sleep_console_readLine_01,CWE400_Resource_Exhaustion__sleep_console_readLine_01,bad,1,"[93, 46]",5107,46,93,
,,,,,,,,,,
5108,CWE400,CWE400_Resource_Exhaustion__connect_tcp_write_16,CWE400_Resource_Exhaustion__connect_tcp_write_16,goodB2G,0,"[127, 58]",5108,,,331
,,,,,,,,,,
5109,CWE400,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_61a,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_61a,bad,1,[44],5109,,44,
5109,CWE400,,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_61b,,,,5109,37,,
,,,,,,,,,,
5110,CWE400,CWE400_Resource_Exhaustion__getCookies_Servlet_write_61a,CWE400_Resource_Exhaustion__getCookies_Servlet_write_61a,goodB2G,0,[44],5110,,,170
5110,CWE400,,CWE400_Resource_Exhaustion__getCookies_Servlet_write_61b,,,,5110,,,
,,,,,,,,,,
5111,CWE400,CWE400_Resource_Exhaustion__database_for_loop_73a,CWE400_Resource_Exhaustion__database_for_loop_73a,bad,1,[55],5111,55,,
5111,CWE400,,CWE400_Resource_Exhaustion__database_for_loop_73b,,,,5111,,33,
,,,,,,,,,,
5112,CWE400,CWE400_Resource_Exhaustion__sleep_random_02,CWE400_Resource_Exhaustion__sleep_random_02,bad,1,"[31, 43]",5112,31,43,
,,,,,,,,,,
5113,CWE400,CWE400_Resource_Exhaustion__max_value_write_74a,CWE400_Resource_Exhaustion__max_value_write_74a,goodB2G,0,[31],5113,,,
5113,CWE400,,CWE400_Resource_Exhaustion__max_value_write_74b,,,,5113,,,165
,,,,,,,,,,
5114,CWE400,CWE400_Resource_Exhaustion__Environment_write_66a,CWE400_Resource_Exhaustion__Environment_write_66a,goodB2G,0,[35],5114,,,
5114,CWE400,,CWE400_Resource_Exhaustion__Environment_write_66b,,,,5114,,,164
,,,,,,,,,,
5115,CWE400,CWE400_Resource_Exhaustion__max_value_for_loop_74a,CWE400_Resource_Exhaustion__max_value_for_loop_74a,goodB2G,0,[31],5115,,,
5115,CWE400,,CWE400_Resource_Exhaustion__max_value_for_loop_74b,,,,5115,,,63
,,,,,,,,,,
5116,CWE400,CWE400_Resource_Exhaustion__Property_write_66a,CWE400_Resource_Exhaustion__Property_write_66a,goodB2G,0,[35],5116,,,
5116,CWE400,,CWE400_Resource_Exhaustion__Property_write_66b,,,,5116,,,164
,,,,,,,,,,
5117,CWE400,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_54a,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_54a,goodB2G,0,[36],5117,,,
5117,CWE400,,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_54b,,,,5117,,,
5117,CWE400,,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_54c,,,,5117,,,
5117,CWE400,,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_54d,,,,5117,,,
5117,CWE400,,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_54e,,,,5117,,,161
,,,,,,,,,,
5118,CWE400,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_72a,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_72a,bad,1,[41],5118,41,,
5118,CWE400,,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_72b,,,,5118,,33,
,,,,,,,,,,
5119,CWE400,CWE400_Resource_Exhaustion__listen_tcp_for_loop_12,CWE400_Resource_Exhaustion__listen_tcp_for_loop_12,goodB2G,0,"[53, 136]",5119,,,406
,,,,,,,,,,
5120,CWE400,CWE400_Resource_Exhaustion__File_write_53a,CWE400_Resource_Exhaustion__File_write_53a,bad,1,[55],5120,55,,
5120,CWE400,,CWE400_Resource_Exhaustion__File_write_53b,,,,5120,,,
5120,CWE400,,CWE400_Resource_Exhaustion__File_write_53c,,,,5120,,,
5120,CWE400,,CWE400_Resource_Exhaustion__File_write_53d,,,,5120,,43,
,,,,,,,,,,
5121,CWE400,CWE400_Resource_Exhaustion__sleep_console_readLine_16,CWE400_Resource_Exhaustion__sleep_console_readLine_16,goodB2G,0,"[45, 96]",5121,,,190
,,,,,,,,,,
5122,CWE400,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_45,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_45,goodB2G,0,[67],5122,,,144
,,,,,,,,,,
5123,CWE400,CWE400_Resource_Exhaustion__random_for_loop_81a,CWE400_Resource_Exhaustion__random_for_loop_81a,bad,1,[32],5123,32,,
5123,CWE400,,CWE400_Resource_Exhaustion__random_for_loop_81_bad,,,,5123,,31,
,,,,,,,,,,
5124,CWE400,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_45,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_45,goodG2B,0,[58],5124,,,100
,,,,,,,,,,
5125,CWE400,CWE400_Resource_Exhaustion__console_readLine_for_loop_16,CWE400_Resource_Exhaustion__console_readLine_for_loop_16,bad,1,"[47, 99]",5125,47,99,
,,,,,,,,,,
5126,CWE400,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_68a,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_68a,bad,1,[50],5126,50,,
5126,CWE400,,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_68b,,,,5126,,32,
,,,,,,,,,,
5127,CWE400,CWE400_Resource_Exhaustion__File_write_01,CWE400_Resource_Exhaustion__File_write_01,bad,1,"[125, 60]",5127,60,125,
,,,,,,,,,,
5128,CWE400,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_66a,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_66a,goodB2G,0,[36],5128,,,
5128,CWE400,,CWE400_Resource_Exhaustion__getQueryString_Servlet_write_66b,,,,5128,,,164
,,,,,,,,,,
5129,CWE400,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_61a,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_61a,bad,1,[32],5129,,32,
5129,CWE400,,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_61b,,,,5129,40,,
,,,,,,,,,,
5130,CWE400,CWE400_Resource_Exhaustion__sleep_random_81a,CWE400_Resource_Exhaustion__sleep_random_81a,goodB2G,0,[30],5130,,,
5130,CWE400,,CWE400_Resource_Exhaustion__sleep_random_81_goodB2G,,,,5130,,,27
,,,,,,,,,,
5131,CWE400,CWE400_Resource_Exhaustion__sleep_listen_tcp_54a,CWE400_Resource_Exhaustion__sleep_listen_tcp_54a,goodB2G,0,[55],5131,,,
5131,CWE400,,CWE400_Resource_Exhaustion__sleep_listen_tcp_54b,,,,5131,,,
5131,CWE400,,CWE400_Resource_Exhaustion__sleep_listen_tcp_54c,,,,5131,,,
5131,CWE400,,CWE400_Resource_Exhaustion__sleep_listen_tcp_54d,,,,5131,,,
5131,CWE400,,CWE400_Resource_Exhaustion__sleep_listen_tcp_54e,,,,5131,,,45
,,,,,,,,,,
5132,CWE400,CWE400_Resource_Exhaustion__sleep_connect_tcp_67a,CWE400_Resource_Exhaustion__sleep_connect_tcp_67a,bad,1,[58],5132,58,,
5132,CWE400,,CWE400_Resource_Exhaustion__sleep_connect_tcp_67b,,,,5132,,28,
,,,,,,,,,,
5133,CWE400,CWE400_Resource_Exhaustion__random_for_loop_75a,CWE400_Resource_Exhaustion__random_for_loop_75a,bad,1,[37],5133,37,,
5133,CWE400,,CWE400_Resource_Exhaustion__random_for_loop_75b,,,,5133,,44,
,,,,,,,,,,
5134,CWE400,CWE400_Resource_Exhaustion__max_value_write_61a,CWE400_Resource_Exhaustion__max_value_write_61a,bad,1,[44],5134,,44,
5134,CWE400,,CWE400_Resource_Exhaustion__max_value_write_61b,,,,5134,30,,
,,,,,,,,,,
5135,CWE400,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_68a,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_68a,bad,1,[41],5135,41,,
5135,CWE400,,CWE400_Resource_Exhaustion__getCookies_Servlet_for_loop_68b,,,,,,32,
,,,,,,,,,,
5136,CWE400,CWE400_Resource_Exhaustion__max_value_write_16,CWE400_Resource_Exhaustion__max_value_write_16,goodB2G,0,"[52, 40]",5136,,,186
,,,,,,,,,,
5137,CWE400,CWE400_Resource_Exhaustion__Property_write_73a,CWE400_Resource_Exhaustion__Property_write_73a,bad,1,[36],5137,37,,
5137,CWE400,,CWE400_Resource_Exhaustion__Property_write_73b,,,,5137,,45,
,,,,,,,,,,
5138,CWE400,CWE400_Resource_Exhaustion__connect_tcp_write_61a,CWE400_Resource_Exhaustion__connect_tcp_write_61a,bad,1,[44],5138,,44,
5138,CWE400,,CWE400_Resource_Exhaustion__connect_tcp_write_61b,,,,5138,55,,
,,,,,,,,,,
5139,CWE400,CWE400_Resource_Exhaustion__random_for_loop_71a,CWE400_Resource_Exhaustion__random_for_loop_71a,goodB2G,0,[32],5139,,,
5139,CWE400,,CWE400_Resource_Exhaustion__random_for_loop_71b,,,,5139,,,62
,,,,,,,,,,
5140,CWE400,CWE400_Resource_Exhaustion__getParameter_Servlet_for_loop_45,CWE400_Resource_Exhaustion__getParameter_Servlet_for_loop_45,bad,1,[53],5140,54,39,
,,,,,,,,,,
5141,CWE400,CWE400_Resource_Exhaustion__Environment_write_74a,CWE400_Resource_Exhaustion__Environment_write_74a,goodB2G,0,[36],5141,,,
5141,CWE400,,CWE400_Resource_Exhaustion__Environment_write_74b,,,,5141,,,165
,,,,,,,,,,
5142,CWE400,CWE400_Resource_Exhaustion__getParameter_Servlet_for_loop_52a,CWE400_Resource_Exhaustion__getParameter_Servlet_for_loop_52a,bad,1,[35],5142,36,,
5142,CWE400,,CWE400_Resource_Exhaustion__getParameter_Servlet_for_loop_52b,,,,5142,,,
5142,CWE400,,CWE400_Resource_Exhaustion__getParameter_Servlet_for_loop_52c,,,,5142,,31,
,,,,,,,,,,
5143,CWE400,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_52a,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_52a,goodB2G,0,[49],5143,,,
5143,CWE400,,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_52b,,,,5143,,,
5143,CWE400,,CWE400_Resource_Exhaustion__PropertiesFile_for_loop_52c,,,,5143,,,59
,,,,,,,,,,
